company_name,crawled_date,employment_type,job_duties,job_id,job_requirements,job_title,job_url,location,posted_date,region
"Газпром добыча Иркутск, ООО",2018-12-22 11:50:23.434027,Постоянная работа,"1. Организация работы по проведению конкурентных закупок в порядке, предусмотренном Положением о закупках товаров, работ, услуг ПАО «Газпром» и Компаний Группы Газпром, документацией по конкурентной закупке и другими нормативными документами, регламентирующими проведение закупок в Обществе на конкурентной основе;
2. Организация работы по подготовке перечня конкурентных закупок Общества на очередной календарный период;
3. Организация работы по подготовке распорядительных документов по подготовке и проведению конкурентных закупок Общества и утверждению составов Комиссий по подведению итогов конкурентных закупок;
4. Предоставление документации о закупке участнику размещения заказа;
5. Организация оценки заявок на участие в конкурентной закупке на соответствие их требованиям, установленным в  документации о закупке;
6. Участие в организационном обеспечении работы конкурсной, аукционной комиссий Общества и Комиссии по подведению итогов запросов предложений, в подготовке документов для заседаний  комиссий, в том числе необходимых обоснований для принятия решений по порядку проведения конкурентных закупок и их итогам;
7. Выполнение требований законодательных и нормативных актов, нормативных документов Общества, ПАО «Газпром» по использованию электронной подписи, требований по эксплуатации электронных торговых площадок и порталов, а также иных информационных ресурсов, на которых осуществляются закупки.",2661,"1. Высшее образование;
2. Стаж работы по специальности не менее 5-ми лет;
3. Знание основ Трудового кодекса Российской Федерации, нормативно-методических документов по направлению деятельности;
4. Уверенный пользователь ПК (Word, Excel).",Начальник отдела подготовки и проведения конкурентных закупок,https://www.gazpromvacancy.ru/job/nachalnik-otdela-podgotovki-i-provedenija-konkurentny/,г. Иркутск,2018-12-19 00:00:00,Иркутская область
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.659028,19 ноября 2018 года,"- Сбор информации для подготовки статистических и аналитических отчетов по движению персонала дочерних обществ и организаций ПАО «Газпром»;
- Формирование предложений в решения совещаний по рассмотрению результатов производственно-хозяйственной деятельности дочерних обществ и организаций ПАО «Газпром»;
- Анализ показателей движения персонала и потребности в персонале дочерних обществ и организаций ПАО «Газпром», стратегических проектов ПАО «Газпром» и формирование комплексных планов мероприятий по обеспечению персоналом;
- Участие в функциональном сопровождении внедрения системы автоматизации учета кадров;
- Формирование справочной и аналитической информации по итогам сбора, обработки и анализа отчетной информации дочерних обществ и организаций ПАО «Газпром» по вопросам управления персоналом;
- Разработка и подготовка к утверждению проектов локальных нормативных актов ПАО «Газпром» по вопросам, касающимся управления персоналом;
- Подготовка необходимых материалов, проектов распорядительных документов, разъяснений и ответов на вопросы.",,"- Высшее образование (предпочтительно экономическое или в области работы со статистическими данными);
- Опыт подготовки отчетности по движению персонала;
- Продвинутый пользователь
Microsoft Excel;
- Знания в области статистики, обработки и анализа данных.",Главный специалист / Специалист по кадровой отчетности,https://www.gazpromvacancy.ru/job/glavnyi-specialist-specialist-po-kadrovoi-otchetnost/,Санкт-Петербург,2018-11-19 00:00:00,Постоянная работа
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.664277,Постоянная работа,"- Анализ потребностей подразделений администрации ПАО «Газпром» в персонале. Управление организационно-штатными изменениями.
- Анализ бизнес-процессов подразделений, задач и функций. Формирование требований к должностям. Поиск и подбор кандидатов на вакансии.
- Участие в работе с компаниями, предоставляющими услуги по поиску и подбору персонала. Ведение договорной работы по направлению деятельности.
- Участие в подготовке кадровой отчетности для принятия решений по вопросам движения персонала.
- Участие в разработке нормативных документов и методических материалов по направлению деятельности. Контроль процедур управления персоналом.
- Участие в реализации компетентностного подхода к управлению персоналом. Организация оценки персонала.
- Участие в работе по формированию внутреннего и внешнего кадрового резерва.",2458,"- Высшее образование. Желательно наличие дополнительного образования в области управления персоналом.
- Профильный опыт работы не менее 5 лет.
- Владение инструментами подбора и отбора персонала (поиск в открытых источниках, прямой поиск, взаимодействие с агентствами по подбору персонала, подготовка требований к кандидатам, оценка кандидатов на основании биографического, профессионального собеседования и интервью по компетенциям).
- Опыт закрытия разнообразных вакансий как управленческого, так и исполнительского уровня.
- Желателен опыт руководящей работы, в том числе в подразделениях по работе с персоналом.
- Опыт работы с документами: подготовка служебных/докладных записок, отчетов, нормативных документов (должностная инструкция, регламент, порядок, положение и т.п.). Навыки методологической работы.
- Хорошие аналитические способности, умение быстро находить необходимую информацию, навыки интерпретации информации.
- Умение работать в условиях многозадачности, расставлять приоритеты, соблюдать установленные сроки выполнения задач.",Главный специалист / HR Generalist,https://www.gazpromvacancy.ru/job/glavnyi-specialist-hr-generalist/,Санкт-Петербург,2018-11-23 00:00:00,Санкт-Петербург
"Газпром добыча Иркутск, ООО",2018-12-22 11:50:23.670309,Постоянная работа,"1. Организация формирования и утверждения календарно-сетевых графиков реализации инвестиционных проектов и подготовка отчетности о ходе строительства, выполнения графиков и календарных планов;
2. Обеспечение поставки предусмотренных договором подряда материальных и иных ресурсов, контроль качества работ;
3. Контроль хода реализации инвестиционных проектов, включая сроки (в том числе установленные комплексными графиками строительства, комплектации и ввода в эксплуатацию), физические и стоимостные показатели проектной документации; приемка выполненных работ; организация пусконаладочных работ;
4. Подготовка отчетности о ходе строительства, выполнении графиков и календарных планов; информирование инвестора в случае отклонения от сроков и стоимостных показателей реализации проектов;
5. Подготовка необходимых документов и своевременная оплата работ и услуг;
6. Организация работы по разработке и экспертизе коммерческих частей закупочной документации в соответствии с требованиями нормативных документов Российской Федерации и ПАО «Газпром»;
7. Организация сдачи объектов (этапов, очередей строительства) в эксплуатацию; передача объектов собственникам или эксплуатирующим организациям; организация и координация консервации и ликвидации основных средств, в соответствии с утвержденными Перечнями основных средств, подлежащих ликвидации (списанию);
8. Государственная регистрация прав собственности на объекты недвижимого имущества;
9. Организация разработки, экспертизы и утверждения проектно-сметной документации;
10. Осуществление контроля за подготовкой необходимых документов для ведения претензионной работы и предъявление санкций за ненадлежащие исполнение договоров.",2636,"1. Образование высшее профессиональное (специалитет, магистратура, бакалавриат) по направлению деятельности;
2. Стаж работы по специальности на инженерно-технических и руководящих должностях в строительстве не менее 5-ти лет;
3. Знание законодательства РФ, в том числе профессиональных стандартов, правовых документов, соответствующих трудовым функциям профессиональных стандартов выполняемого вида профессиональной деятельности;
4. Уверенное пользование компьютером (программы MS Word, MS Exсel, MS Outlook, Интернет, MS PowerPoint);
5. Готовность к ненормированному рабочему дню.","Начальник Управления организации восстановления, реконструкции и строительства основных фондов",https://www.gazpromvacancy.ru/job/nachalnik-upravlenija-organizacii-vosstanovlenija-rek/,г. Иркутск,2018-11-26 00:00:00,Иркутская область
"Газпром переработка Благовещенск, ООО",2018-12-22 11:50:23.675868,Постоянная работа,"1. Обеспечение своевременного и качественного проведения проверки проектной документации по разделам: «Система водоснабжения», «Система водоотведения»;
2. По результатам проведения проверки подготовка замечаний / оценки предоставленной документации, формирование вывода о соответствии, либо несоответствии предоставленной документации требованиям нормативных документов, обосновывая их ссылками на документы;
3. Получение необходимых для проектирования технических условий;
4. Контроль разработки, проверка рабочей документации. По результатам проведения проверки подготовка замечаний;
5. Взаимодействие с проектными организациями по вопросам согласования изменений, вносимых в проектную / рабочую документацию;
6. Подготовка технических заданий на выполнение работ;
7. Ведение переписки;
8. Контроль графиков производства работ;
9. Участие в приёмочных комиссиях на строительной площадке по системам водоснабжения и водоотведения;
10. Приёмка выполненных строительных работ у монтажных организаций.",2637,"1. Высшее техническое образование;
2. Опыт работы в данном направлении от 5 лет;
3. Знание:
- директивных и распорядительных документов, методических и нормативных материалов по вопросам выполняемой работы;
- структуры водопроводно-канализационного хозяйства;
- правил технической эксплуатации систем водоснабжения и водоотведения населенных мест;
- правил техники безопасности при эксплуатации систем водоснабжения и водоотведения населенных мест;
- правил пользования коммунальным водопроводом и канализацией;
- СНиПов и стандартов на наружные сети водоснабжения и водоотведения, требований к качеству питьевой воды и очистке бытовых стояков;
- принципов работы, технических характеристик, конструктивных особенностей разрабатываемых и используемых технических средств, материалов и их свойств;
- методов исследования, правил и условий выполнения работ;
основных требований, предъявляемых к технической документации, материалам, изделиям;
- действующих стандартов, технических условий, положений и инструкций по составлению и оформлению технической документации;
- методов проведения технических расчетов и определения экономической эффективности исследований и разработок.
4. Готовность к ненормированному рабочему дню, командировкам и последующей релокации в Амурскую область.",Главный специалист отдела Главного энергетика (водоснабжение и водоотведение),https://www.gazpromvacancy.ru/job/glavnyi-specialist-otdela-glavnogo-ehnergetika-vodosn/,г. Москва,2018-11-26 00:00:00,Москва
"Газпром переработка Благовещенск, ООО",2018-12-22 11:50:23.681312,Постоянная работа,"1. Сопровождение работы консультантов (подготовка и направление задания, согласование отчетов, оплата счетов);
2. Участие в подготовке и согласовании кредитно-финансовой и обеспечительной документации (перечень условий, кредитные соглашения и т.д.) с экспортными кредитными агентствами и коммерческими банками;
3. Участие в переговорах с банками и ЭКА;
4. Выполнение предварительных условий (CPs) получения финансирования;
5. Анализ финансовых моделей.",2638,"1. Высшее экономическое (экономико-математическое / финансовое) образование;
2. Опыт построения и анализа финансовых моделей, расчета и оценки параметров эффективности проектов с учетом внешнего финансирования от 5-ти лет;
3. Опыт привлечения консультантов в проект и организация их работы;
4. Опыт работы с экспортными кредитными агентствами / коммерческим банками по привлечения финансирования;
5. Опыт работы в согласовании кредитной и обеспечительной документации;
6. Аналитический склад ума, способность работать в условиях многозадачности, склонность к командной работе, внимательность к деталям, инициативность, целеустремленность;
7. Свободное владение английским языком.",Главный специалист отдела проектного финансирования,https://www.gazpromvacancy.ru/job/glavnyi-specialist-otdela-proektnogo-finansirovanija/,г. Москва,2018-11-26 00:00:00,Москва
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.685577,Постоянная работа,"Участие в разработке долгосрочной программы развития ПАО «Газпром»;
Участие в формировании сетевого графика и матрицы вариантов развития ПАО «Газпром»;
Исследование производственно-экономических показателей крупнейших российских и нефтегазовых компаний мира;
Подготовка комплектов материалов для рассмотрения и утверждения проекта долгосрочной программы развития ПАО «Газпром» на заседаниях Правления и Совета директоров ПАО «Газпром»;
Сбор и систематизация информационных материалов, включая отчеты и обзоры консалтинговых компаний, научно-исследовательских институтов;
Взаимодействие с профильными министерствами и ведомствами при разработке/корректировке федеральных программ развития энергетики и газовой отрасли с целью защиты стратегических интересов ПАО «Газпром»;
Подготовка аналитических справок, докладов и текстов выступлений.",2639,"Высшее образование техническое/математическое/финансовое/экономическое;
Наличие опыта информационно-аналитической работы не менее 5 лет;
Наличие опыта работы в газовой промышленности/смежных отраслях не менее 3 лет;
Наличие опыта оценки инвестиционной привлекательности проектов;
Знание основных принципов функционирования нефтяных и газовых рынков;
Навыки составления информационных обзоров и аналитических отчетов;
Профессиональный уровень владения пакетом программ MS office.",Главный специалист управления долгосрочных программ развития (аналитик),https://www.gazpromvacancy.ru/job/glavnyi-specialist-upravlenija-dolgosrochnykh-programm/,г. Санкт-Петербург,2018-11-26 00:00:00,Санкт-Петербург
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.690703,Постоянная работа,"Оценка результатов технико-экономических расчётов эффективности реализации стратегических инициатив и инвестиционных проектов;
Участие в анализе финансово-экономических моделей;
Консолидация исходных данных для разработки долгосрочной программы развития ПАО «Газпром»;
Разработка стандартов и нормативной документации в части долгосрочного планирования;
Организация подготовки предложений по формированию и корректировке федеральных и региональных программ развития газовой отрасли.",2640,"Высшее образование техническое/математическое/финансовое/экономическое;
Наличие опыта экспертизы финансово-экономических и технико-экономических обоснований проектов, а также разделов по экономической эффективности предпроектной и проектной документации;
Наличие опыта работы в газовой промышленности/смежных отраслях не менее 3 лет;
Наличие опыта оценки инвестиционной привлекательности проектов;
Знание основных принципов функционирования нефтяных и газовых рынков;
Навыки составления информационных обзоров и аналитических отчетов;
Профессиональный уровень владения пакетом программ
MS office.",Главный специалист отдела экономического обоснования программ развития ,https://www.gazpromvacancy.ru/job/glavnyi-specialist-otdela-ehkonomicheskogo-obosnovanija/,г. Санкт-Петербург,2018-11-26 00:00:00,Санкт-Петербург
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.696242,Постоянная работа,"Подготовка технических заданий на проведение ПИИ по вопросам перспективных проектов нефтегазопереработки, газохимии;
Экспертиза выполненных НИОКР и прединвестиционных исследований по вопросам перспективных проектов нефтегазопереработки, газохимии, подготовка замечаний и предложений по представленным работам;
Расчет цен реализации углеводородного сырья/товарной продукции перерабатывающих предприятий группы «Газпром»;
Разработка подходов к ценообразованию (ценовых формул) при покупке/реализации углеводородов;
Организация перспективных проектов по переработке стороннего углеводородного сырья на мощностях ДО ОАО «Газпром»;
Проработка организационно коммерческих схем (включая договорные отношения) проектов переработки углеводородного сырья, нефтехимии, газохимии;
Подготовка и в дальнейшем курирование коммерческих договоров на поставку углеводородного сырья с нефтегазохимическими предприятиями;
Подготовка, составление и представление расчетов, справочных, аналитических и других материалов по вопросам эффективности различных схем переработки углеводородного сырья и реализации нефтегазохимической продукции.",2120,"Высшее экономическое/техническое образование по нефтехимическому/газохимическому профилю;
Наличие опыта работы в области маркетинга продукции углеводородного сырья, а также в области оценки экономической эффективности по проектам нового строительства/реконструкции/модернизации не менее 5 лет;
Наличие опыта работы в нефтехимических/газохимических  компаниях или профильных проектных организациях не менее 3 лет;
Навыки составления и представление расчетов, справочных, аналитических и других отчетов;
Профессиональный уровень владения пакетом программ MS office.",Главный технолог (работа с нефтеперерабатывающими предприятиями),https://www.gazpromvacancy.ru/job/glavnyi-tekhnolog-rabota-s-neftepererabatyvajushchimi-pre/,г. Санкт-Петербург,2018-11-26 00:00:00,Санкт-Петербург
"Газпром георесурс, ООО",2018-12-22 11:50:23.703520,Постоянная работа,"1. Сбор сведений о планируемых на очередной календарный год закупках товаров, работ, услуг от структурных подразделений Филиала, по соответствующим направлениям деятельности;
2. Формирование Плана закупок товаров, работ, услуг Филиала на очередной календарный год, по утвержденным Обществом формам, на основании сведений, полученных от структурных подразделений;
3. Осуществление маркетинговых исследований конъюнктуры рынка закупаемых для нужд Филиала товаров, работ, услуг, анализировать информацию, необходимую для составления документации (материалов) по конкурентным закупкам;
4. Осуществление согласования договоров поставки товаров / оказания услуг / выполнения работ, заключаемых по итогам проведения конкурентных закупок, в установленном порядке.",2641,"1. Высшее образование;
2. Стаж работы в сфере закупок не менее 1 (одного) года.","Инженер I категории по конкурентным закупкам производственного филиала ""Костромагазгеофизика""",https://www.gazpromvacancy.ru/job/inzhener-i-kategorii-po-konkurentnym-zakupkam-proizvod/,г. Кострома,2018-11-27 00:00:00,Костромская область
